patch,champion_name,team_position,tier,position_rank,score,win_rate,avg_kda,pick_rate,games_played
16.12,Vladimir,BOTTOM,S,1,0.803,92.3,6.39,1.8,13
16.12,Senna,BOTTOM,B,2,0.481,48.0,3.99,24.4,175
16.12,Xayah,BOTTOM,B,3,0.478,61.1,5.2,2.5,18
16.12,Velkoz,BOTTOM,B,4,0.459,65.2,4.35,3.2,23
16.12,Varus,BOTTOM,B,5,0.45,60.5,4.49,5.3,38
16.12,Zeri,BOTTOM,B,6,0.422,50.0,5.54,3.6,26
16.12,Ezreal,BOTTOM,B,7,0.418,50.0,3.21,21.4,154
16.12,Tristana,BOTTOM,B,8,0.411,62.5,3.51,6.7,48
16.11,Senna,BOTTOM,B,9,0.41,50.0,3.63,17.2,10
16.12,Sivir,BOTTOM,B,10,0.407,61.4,3.43,7.9,57
16.12,Smolder,BOTTOM,B,11,0.385,63.6,3.66,1.5,11
16.12,Syndra,BOTTOM,B,12,0.378,40.0,6.36,1.4,10
16.11,Ezreal,BOTTOM,B,13,0.367,45.5,3.3,19.0,11
16.12,Caitlyn,BOTTOM,B,14,0.353,47.9,3.11,16.6,119
16.12,Yunara,BOTTOM,C,15,0.33,53.2,3.44,6.5,47
16.12,Lucian,BOTTOM,C,16,0.314,54.5,2.71,9.2,66
16.12,Ashe,BOTTOM,C,17,0.305,50.9,3.23,7.4,53
16.12,Katarina,BOTTOM,C,18,0.304,57.1,3.18,1.9,14
16.12,Nilah,BOTTOM,C,19,0.303,57.1,3.17,1.9,14
16.12,Seraphine,BOTTOM,C,20,0.3,47.1,3.96,4.7,34
16.12,Kaisa,BOTTOM,C,21,0.293,47.3,3.1,10.3,74
16.12,Jinx,BOTTOM,C,22,0.292,48.6,2.94,10.3,74
16.12,Yasuo,BOTTOM,C,23,0.29,50.0,3.89,1.4,10
16.12,Draven,BOTTOM,C,24,0.284,50.0,3.55,3.3,24
16.12,Jhin,BOTTOM,C,25,0.276,46.2,3.39,7.2,52
16.12,Ziggs,BOTTOM,C,25,0.276,42.9,4.32,2.9,21
16.12,Aphelios,BOTTOM,C,27,0.272,52.7,2.49,7.7,55
16.12,Veigar,BOTTOM,C,28,0.267,50.0,3.48,1.9,14
16.12,Vayne,BOTTOM,C,29,0.264,58.1,2.17,4.3,31
16.12,MissFortune,BOTTOM,C,30,0.246,47.6,3.32,2.9,21
16.12,Twitch,BOTTOM,C,31,0.238,42.9,3.76,2.9,21
16.12,KogMaw,BOTTOM,C,32,0.226,56.3,2.09,2.2,16
16.12,Cassiopeia,BOTTOM,C,33,0.224,41.7,3.86,1.7,12
16.12,Xerath,BOTTOM,C,34,0.208,33.3,4.56,2.1,15
16.12,Hwei,BOTTOM,C,34,0.208,38.2,3.65,4.7,34
16.12,Brand,BOTTOM,C,36,0.201,46.2,2.74,3.6,26
16.12,Kalista,BOTTOM,C,37,0.18,50.0,1.98,3.6,26
16.12,Zyra,BOTTOM,C,38,0.159,40.0,3.14,1.4,10
16.12,Mel,BOTTOM,D,39,0.138,38.1,2.86,2.9,21
16.12,Karthus,BOTTOM,D,40,0.133,41.7,2.3,3.3,24
16.12,Lux,BOTTOM,D,41,0.124,30.0,3.44,4.2,30
16.12,AurelionSol,BOTTOM,D,42,0.097,36.4,2.64,1.5,11
16.12,JarvanIV,JUNGLE,S,1,0.845,65.8,6.16,10.2,73
16.11,LeeSin,JUNGLE,S,2,0.75,60.0,4.32,17.2,10
16.12,Rengar,JUNGLE,A,3,0.74,66.0,5.26,6.5,47
16.12,Nasus,JUNGLE,A,4,0.729,60.6,6.3,4.6,33
16.12,MonkeyKing,JUNGLE,A,5,0.722,57.4,5.09,13.1,94
16.12,RekSai,JUNGLE,A,5,0.722,56.1,6.04,9.2,66
16.12,Belveth,JUNGLE,A,7,0.707,57.9,6.79,2.6,19
16.12,Naafiri,JUNGLE,A,8,0.7,53.8,5.41,12.7,91
16.12,LeeSin,JUNGLE,A,9,0.674,52.8,4.73,15.0,108
16.12,Zed,JUNGLE,A,10,0.667,65.4,4.81,3.6,26
