patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.12,Senna,BOTTOM,175,48.0,3.99,6.9,22566.0,5.2,5.7,11.4,24.4
16.12,Ezreal,BOTTOM,154,50.0,3.21,8.0,30182.0,7.1,6.1,7.7,21.4
16.12,Nautilus,UTILITY,135,50.4,3.41,1.0,9474.0,2.0,6.8,14.4,18.8
16.12,Caitlyn,BOTTOM,119,47.9,3.11,8.1,23653.0,6.4,6.7,7.1,16.6
16.12,Bard,UTILITY,115,50.4,4.79,0.9,12422.0,2.5,5.6,15.7,16.0
16.12,LeeSin,JUNGLE,108,52.8,4.73,6.5,17368.0,6.7,5.2,9.2,15.0
16.12,Jayce,TOP,97,54.6,3.1,8.1,26388.0,6.3,5.6,5.8,13.5
16.12,MonkeyKing,JUNGLE,94,57.4,5.09,7.1,19739.0,7.5,4.5,7.8,13.1
16.12,Karma,UTILITY,94,55.3,5.01,1.1,9079.0,1.8,5.1,14.8,13.1
16.12,Naafiri,JUNGLE,91,53.8,5.41,7.7,21075.0,8.4,4.4,7.0,12.7
16.12,Katarina,MIDDLE,82,56.1,3.85,7.0,24584.0,10.0,5.7,5.2,11.4
16.12,Sylas,MIDDLE,81,46.9,2.53,6.8,22677.0,6.6,6.6,5.9,11.3
16.12,Kayn,JUNGLE,79,46.8,2.86,7.0,20591.0,8.0,6.4,6.2,11.0
16.12,Camille,UTILITY,78,56.4,2.74,1.2,16990.0,5.1,7.9,11.6,10.9
16.12,Ryze,MIDDLE,76,53.9,4.04,8.6,23468.0,5.8,4.9,7.0,10.6
16.12,Kaisa,BOTTOM,74,47.3,3.1,8.2,25101.0,8.5,6.6,6.6,10.3
16.12,Jinx,BOTTOM,74,48.6,2.94,8.4,23224.0,6.4,6.2,6.8,10.3
16.12,JarvanIV,JUNGLE,73,65.8,6.16,7.2,19461.0,6.8,5.2,14.1,10.2
16.12,Zed,MIDDLE,71,63.4,3.53,7.6,26337.0,7.7,4.7,4.5,9.9
16.12,Sona,UTILITY,70,60.0,4.59,0.9,11204.0,2.5,5.4,15.6,9.7
16.12,Seraphine,UTILITY,70,58.6,4.24,1.2,10645.0,2.5,5.5,14.6,9.7
16.12,RekSai,JUNGLE,66,56.1,6.04,6.3,19877.0,8.4,5.3,9.7,9.2
16.12,Vayne,TOP,66,48.5,1.99,7.3,22553.0,6.1,5.7,4.3,9.2
16.12,Lucian,BOTTOM,66,54.5,2.71,8.0,25511.0,7.3,6.4,7.3,9.2
16.12,Leona,UTILITY,64,40.6,3.2,0.9,9042.0,1.7,7.1,14.0,8.9
16.12,Talon,JUNGLE,64,43.8,3.72,7.7,25117.0,9.5,6.3,6.0,8.9
16.12,Ahri,MIDDLE,64,53.1,4.14,7.4,23620.0,6.3,5.5,8.0,8.9
16.12,Rumble,TOP,62,38.7,2.42,7.4,25177.0,5.5,5.3,6.5,8.6
